category,subcategory,component,method,cost,cost_units,quantity,quantity_units,useful_life,remaining_useful_life,notes
Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Repeating,2500.0,Each,23,Each,20,2:06,Source page: 64
Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Repeating,2500.0,Each,23,Each,20,3:06,Source page: 64
Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Repeating,2500.0,Each,23,Each,20,4:06,Source page: 64
Balconies-Decks-Stairways,Structural,Balconies-Decks-Posts/Structural Supports,Repeating,2500.0,Each,23,Each,20,5:06,Source page: 64
Balconies-Decks-Stairways,Structural,Metal Stairway Flashing/Stringers,Repeating,15000.0,Allow,1,Allow,7,2:06,Source page: 121
Balconies-Decks-Stairways,Structural,Wood Balcony Walls,Repeating,25000.0,Allow,1,Allow,5,2:06,Source page: 156
Concrete,Major Repairs,Concrete Sidewalks-Stairs-Patios/Grinding-Repairs,Repeating,10000.0,Allow,1,Allow,3,0:06,Source page: 102
Concrete,Major Repairs,Curbs-Gutters,Repeating,5000.0,Allow,1,Allow,3,0:06,Source page: 104
Concrete,Pool,Pool Area Concrete Deck,One Time,12.0,$/SF,1592,SF,25,18:06,Source page: 128
Doors-Windows,Entry Unit,Unit Front and Screen Doors,Repeating,1000.0,Each,23,Each,25,5:06,Source page: 153
Doors-Windows,Entry Unit,Unit Front and Screen Doors,Repeating,1000.0,Each,23,Each,25,6:06,Source page: 153
Doors-Windows,Entry Unit,Unit Front and Screen Doors,Repeating,1000.0,Each,23,Each,25,7:06,Source page: 153
Doors-Windows,Entry Unit,Unit Front and Screen Doors,Repeating,1000.0,Each,23,Each,25,8:06,Source page: 153
Doors-Windows,Entry Unit,Unit Front and Screen Doors,Repeating,1000.0,Each,23,Each,25,9:06,Source page: 153
Doors-Windows,Entry Unit,Unit Front and Screen Doors,Repeating,1000.0,Each,23,Each,25,10:06,Source page: 153
Doors-Windows,Raised Panel,Clubhouse Bathroom/Interior Doors,Repeating,5000.0,Allow,1,Allow,10,7:06,Source page: 79
Doors-Windows,Renovation,Clubhouse/Fitness Windows,Repeating,4500.0,Allow,1,Allow,7,2:06,Source page: 100
Doors-Windows,Sliders,Clubhouse Sliding Glass Doors,Repeating,4000.0,Allow,1,Allow,10,5:06,Source page: 95
Doors-Windows,Window Treatment,Clubhouse Blinds,Repeating,2000.0,Allow,1,Allow,7,4:06,Source page: 80
Doors-Windows,Wood and Metal,Clubhouse Glass Doors,Repeating,3500.0,Allow,1,Allow,10,3:06,Source page: 87
Equipment,Audio Visual,"Clubhouse 50"" TV",Repeating,450.0,Each,1,Each,10,3:06,Source page: 74
Equipment,Fitness Machines,Fitness Center Equipment,Repeating,7500.0,Allow,1,Allow,7,2:06,Source page: 110
Equipment,HVAC,Sauna Heater,Repeating,250.0,Each,1,Each,15,2:06,Source page: 144
Equipment,Mail,Mail Boxes,Repeating,10000.0,Job,1,Job,25,10:06,Source page: 120
Equipment,Pool,Pool Chemical Controller-Rola Chem,Repeating,2500.0,Job,1,Job,15,10:06,Source page: 134
Equipment,Pool,Pool Cover,Repeating,4.0,$/SF,720,SF,12,2:06,Source page: 136
Equipment,Pool,Pool Filter Hayward,Repeating,1300.0,Each,1,Each,15,5:06,Source page: 137
Equipment,Pool,Pool Heater Raypak,Repeating,3000.0,Each,1,Each,15,2:06,Source page: 138
Equipment,Pool,Pool Misc Pipes Valves,Repeating,1500.0,Allow,1,Allow,7,4:06,Source page: 139
Equipment,Pool,Pool Pump Hayward,Repeating,750.0,Each,1,Each,15,6:06,Source page: 140
Equipment,Pool,Pool Rails-Ladder,Repeating,250.0,Each,3,Each,15,5:06,Source page: 141
Equipment,Pool,Pool Room Compressor,Repeating,500.0,Each,1,Each,15,5:06,Source page: 143
Exterior Furniture,Patio,Pool Chairs-Tables-Chaise Lounge,Repeating,1750.0,Allow,1,Allow,4,1:06,Source page: 133
Exterior Surfaces,Pool,Pool Coping,Repeating,35.0,$/LF,120,LF,20,10:06,Source page: 135
Exterior Surfaces,Renovation,Wood Siding,Repeating,12.0,$/SF,12500,SF,30,5:06,Source page: 157
Exterior Surfaces,Renovation,Wood Siding,Repeating,12.0,$/SF,12500,SF,30,6:06,Source page: 157
Exterior Surfaces,Renovation,Wood Siding,Repeating,12.0,$/SF,12500,SF,30,7:06,Source page: 157
Exterior Surfaces,Renovation,Wood Siding,Repeating,12.0,$/SF,12500,SF,30,8:06,Source page: 157
Exterior Surfaces,Renovation,Wood Siding,Repeating,12.0,$/SF,12500,SF,30,9:06,Source page: 157
Exterior Surfaces,Renovation,Wood Siding,Repeating,12.0,$/SF,12500,SF,30,10:06,Source page: 157
Exterior Surfaces,Renovation,Wood Siding,Repeating,12.0,$/SF,12500,SF,30,11:06,Source page: 157
Exterior Surfaces,Renovation,Wood Siding,Repeating,12.0,$/SF,12500,SF,30,12:06,Source page: 157
Exterior Surfaces,Renovation,Wood Siding,Repeating,12.0,$/SF,12500,SF,30,13:06,Source page: 157
Exterior Surfaces,Renovation,Wood Siding,Repeating,12.0,$/SF,12500,SF,30,14:06,Source page: 157
Exterior Surfaces,Roofing,Fascia-Flashing-Soffits,Repeating,10000.0,Allow,1,Allow,8,1:06,Source page: 108
Exterior Surfaces,Siding,Clubhouse Siding,Repeating,12.0,$/SF,7500,SF,30,5:06,Source page: 94
Exterior Surfaces,Siding,Corrugated Balcony Walls,Repeating,5000.0,Allow,1,Allow,10,7:06,Source page: 103
Exterior Surfaces,Siding,Stucco Siding Repair,Repeating,10000.0,Allow,1,Allow,7,4:06,Source page: 149
Exterior Surfaces,Structural,Chimney Chases Structural Renovations,Repeating,2500.0,Each,23,Each,20,0:06,Source page: 71
Exterior Surfaces,Structural,Chimney Chases Structural Renovations,Repeating,2500.0,Each,23,Each,20,1:06,Source page: 71
Exterior Surfaces,Structural,Chimney Chases Structural Renovations,Repeating,2500.0,Each,23,Each,20,2:06,Source page: 71
Exterior Surfaces,Structural,Chimney Chases Structural Renovations,Repeating,2500.0,Each,23,Each,20,3:06,Source page: 71
Exterior Surfaces,Structural,Chimney Chases Structural Renovations,Repeating,2500.0,Each,23,Each,20,4:06,Source page: 71
Exterior Surfaces,Structural,Chimney Chases Structural Renovations,Repeating,2500.0,Each,23,Each,20,5:06,Source page: 71
Fences-Walls-Gates,Chain Link,Chain Link Fence,Repeating,2500.0,Allow,1,Allow,10,3:06,Source page: 70
Fences-Walls-Gates,Concrete,Concrete Brick Grouted Wall,Repeating,2500.0,Allow,1,Allow,3,0:06,Source page: 101
Fences-Walls-Gates,Concrete,Pool Area Wall Repair,Repeating,2500.0,Allow,1,Allow,5,0:06,Source page: 132
Fences-Walls-Gates,Concrete,Stacked Concrete Block Wall,Repeating,1500.0,Allow,1,Allow,5,2:06,Source page: 147
Fences-Walls-Gates,Metal,Pool Area Metal Rail Fence-Gate,Repeating,75.0,$/LF,200,LF,25,10:06,Source page: 129
Fences-Walls-Gates,Renovation,Wooden Perimeter Fence,Repeating,5000.0,Allow,1,Allow,5,3:06,Source page: 158
Fire Safety,Equipment,Chimney Flues-Caps-Spark Arrestors,Repeating,5000.0,Allow,1,Allow,5,3:06,Source page: 73
Fire Safety,Extinguishers,Fire Extinguishers,Repeating,2000.0,Allow,1,Allow,5,0:06,Source page: 109
Fire Safety,Interior Cleaning,Chimney Cleaning,Repeating,200.0,Each,138,Each,3,0:06,Source page: 72
Fire Safety,Interior Cleaning,Dryer Vent Cleaning,Repeating,200.0,Each,138,Each,3,0:06,Source page: 106
Flooring,Carpet,Clubhouse Carpet,Repeating,9.0,$/SF,4000,SF,12,9:06,Source page: 81
Flooring,Tile,Clubhouse Tile Floor,Repeating,16.0,$/SF,1000,SF,20,5:06,Source page: 99
Flooring,Tile,Pool Area Tile Exterior,Repeating,16.0,$/SF,400,SF,20,5:06,Source page: 131
HVAC,Equipment,Clubhouse Furnace,Repeating,1200.0,Each,3,Each,15,5:06,Source page: 86
HVAC,Gas,Clubhouse Fireplace,Repeating,1000.0,Job,1,Job,20,5:06,Source page: 84
Interior Furniture,Bar Service,Clubhouse Barstools,Repeating,350.0,Each,3,Each,15,5:06,Source page: 77
Interior Furniture,Metal Folding,Clubhouse Folding Tables-Chairs,Repeating,1500.0,Allow,1,Allow,5,2:06,Source page: 85
Interior Furniture,Upholstered,Clubhouse Sofa-Chairs,Repeating,5000.0,Allow,1,Allow,12,2:06,Source page: 96
Interior Furniture,Wood Upholstered,Clubhouse Table and Chairs,Repeating,1600.0,Each,3,Each,20,5:06,Source page: 98
Landscape,Concrete,Landscape Border Blocks,Repeating,1000.0,Allow,1,Allow,3,0:06,Source page: 115
Landscape,Fire Safety,Tree Removal-Major Trimming,Repeating,8000.0,Allow,1,Allow,1,0:06,Source page: 151
Landscape,Irrigation,Irrigation Control Valves-Sprinkers-Timers,Repeating,2500.0,Allow,1,Allow,3,0:06,Source page: 114
Landscape,Renovation,Landscape Replenishment,Repeating,2500.0,Allow,1,Allow,3,0:06,Source page: 116
Landscape,Renovation,Landscape Rock,Repeating,2500.0,Allow,1,Allow,8,5:06,Source page: 117
Lighting,Carport,Carport Flood Lights,Repeating,1500.0,Allow,1,Allow,4,0:06,Source page: 66
Lighting,Emergency,Clubhouse Emergency Lighting,Repeating,1500.0,Allow,1,Allow,5,0:06,Source page: 83
Lighting,Exterior,Exterior Globe Wall Lighting,Repeating,2000.0,Allow,1,Allow,12,5:06,Source page: 107
Lighting,Exterior,Pool Area Cage Lights Lights,Repeating,175.0,Each,6,Each,20,5:06,Source page: 127
Lighting,Flourescent,Carport Flourescent Lights,Repeating,2000.0,Allow,1,Allow,7,3:06,Source page: 67
Lighting,HVAC,Clubhouse Ceiling Fans,Repeating,1500.0,Allow,1,Allow,10,0:06,Source page: 82
Lighting,Interior,Clubhouse Interior Lighting,Repeating,3500.0,Allow,1,Allow,7,2:06,Source page: 89
Lighting,Pole Lights,Pole Globe Lights,Repeating,5000.0,Allow,1,Allow,7,2:06,Source page: 126
Lighting,Sconces,Lighting Exterior Sconces,Repeating,3000.0,Allow,1,Allow,8,3:06,Source page: 119
Painting,Exterior,Painting Unit Buildings-Clubhouse-Exterior,Repeating,4.0,$/SF,25000,SF,10,0:06,Source page: 124
Painting,Exterior,Painting Unit Buildings-Clubhouse-Exterior,Repeating,4.0,$/SF,25000,SF,10,1:06,Source page: 124
Painting,Exterior,Painting Unit Buildings-Clubhouse-Exterior,Repeating,4.0,$/SF,25000,SF,10,2:06,Source page: 124
Painting,Exterior,Painting Unit Buildings-Clubhouse-Exterior,Repeating,4.0,$/SF,25000,SF,10,3:06,Source page: 124
Painting,Exterior,Painting Unit Buildings-Clubhouse-Exterior,Repeating,4.0,$/SF,25000,SF,10,4:06,Source page: 124
Painting,Exterior,Painting Unit Buildings-Clubhouse-Exterior,Repeating,4.0,$/SF,25000,SF,10,5:06,Source page: 124
Painting,Exterior,Painting Unit Buildings-Clubhouse-Exterior,Repeating,4.0,$/SF,25000,SF,10,6:06,Source page: 124
Painting,Exterior Metal,Pool Area Metal Rail Fence-Gate-Painting,Repeating,15.0,$/LF,200,LF,10,0:06,Source page: 130
Painting,Interior,Clubhouse Interior Painting,Repeating,1.75,$/SF,20000,SF,12,1:06,Source page: 90
Painting,Parking,Parking Striping-Curb Painting,Repeating,5000.0,Allow,1,Allow,7,3:06,Source page: 125
Plumbing,Equipment,Clubhouse Hot Water Heaters-Expansion,Repeating,1200.0,Each,2,Each,12,9:06,Source page: 88
Plumbing,Sanitation,Sewer Lateral Lines-Cleanouts,Repeating,5000.0,Allow,1,Allow,5,1:06,Source page: 146
Renovation,Bar Service,Clubhouse Bar Remodel,Repeating,5000.0,Job,1,Job,20,5:06,Source page: 76
Renovation,Bathrooms,Clubhouse Bathroom Remodel,Repeating,6000.0,Each,2,Each,20,5:06,Source page: 78
Renovation,Kitchenette,Fitness Room Kitchenette Remodel,Repeating,3500.0,Allow,1,Allow,20,5:06,Source page: 111
Renovation,Laundry,Laundry Room Remodel,Repeating,3500.0,Allow,1,Allow,20,5:06,Source page: 118
Renovation,Plaster,Pool Resurface,Repeating,12.0,$/SF,1200,SF,15,13:06,Source page: 142
Renovation,Shop,Clubhouse Maintenance Shop Remodel,Repeating,2500.0,Allow,1,Allow,10,3:06,Source page: 91
Renovation,Shower Room,Clubhouse Pool Room-Shower Remodel,Repeating,5000.0,Allow,1,Allow,20,5:06,Source page: 92
Renovation,Wood,Sauna Remodel,Repeating,2500.0,Job,1,Job,20,5:06,Source page: 145
Roofing,Drainage,Gutters-Downspouts,Repeating,5000.0,Allow,1,Allow,5,0:06,Source page: 113
Roofing,Elastomeric,Garage Flat Roof,Repeating,6000.0,SF,13,SF,25,10:06,Source page: 112
Roofing,Metal,Carport Roofs,Repeating,12.0,$/SF,4280,SF,25,5:06,Source page: 68
Roofing,Metal,Carport Roofs,Repeating,12.0,$/SF,4280,SF,25,6:06,Source page: 68
Roofing,Metal,Carport Roofs,Repeating,12.0,$/SF,4280,SF,25,7:06,Source page: 68
Roofing,Metal,Carport Roofs,Repeating,12.0,$/SF,4280,SF,25,8:06,Source page: 68
Roofing,Metal,Carport Roofs,Repeating,12.0,$/SF,4280,SF,25,9:06,Source page: 68
Roofing,Shingle,Clubhouse Roof,Repeating,12.0,$/SF,4500,SF,25,2:06,Source page: 93
Roofing,Shingle,Unit Building Shingle Roofs,Repeating,12.0,$/SF,20000,SF,30,0:06,Source page: 152
Roofing,Shingle,Unit Building Shingle Roofs,Repeating,12.0,$/SF,20000,SF,30,1:06,Source page: 152
Roofing,Shingle,Unit Building Shingle Roofs,Repeating,12.0,$/SF,20000,SF,30,2:06,Source page: 152
Roofing,Shingle,Unit Building Shingle Roofs,Repeating,12.0,$/SF,20000,SF,30,3:06,Source page: 152
Roofing,Shingle,Unit Building Shingle Roofs,Repeating,12.0,$/SF,20000,SF,30,4:06,Source page: 152
Signage,Misc,Misc and Parking Signs,Repeating,1000.0,Allow,1,Allow,5,3:06,Source page: 122
Signage,Monument,Monument Sign/Wall,Repeating,2000.0,Allow,1,Allow,15,5:06,Source page: 123
Signage,Numbers,Building Signs/Numbers,Repeating,2000.0,Allow,1,Allow,5,0:06,Source page: 65
Structural,Metal,Carport Support Posts-Beams,Repeating,5000.0,Allow,1,Allow,10,2:06,Source page: 69
Structural,Renovation,Trash Enclosures,Repeating,7500.0,Allow,1,Allow,5,0:06,Source page: 150
